AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
AIR INDIA;DOMESTIC;258876;274220;3320626;4186302;25/05/2014
AIR INDIA EXPRESS;DOMESTIC;95581;116600;0;0;23/01/2015
INDIGO;DOMESTIC;68112;74212;320;1812;12/02/2010
JET AIRWAYS;DOMESTIC;320853;332116;4173874;5383515;19/02/2013
SPICEJET;DOMESTIC;37882;42468;0;11568;02/07/2015
AEROFLOT;FOREIGN;5088;6901;7581;199696;17/10/2015
AEROLOGIC;FOREIGN;0;0;1409;1235;28/09/2016
AIR ARABIA;FOREIGN;77405;79096;191549;1096201;19/09/2016
AIR ASIA BERHAD;FOREIGN;25906;27950;33524;307431;28/11/2014
AIR AUSTRAL;FOREIGN;0;0;0;0;11/11/2015
AIR CHINA;FOREIGN;4004;4047;159159;191009;02/12/2012
AIR FRANCE;FOREIGN;20204;22839;726368;1365611;04/05/2014
AIR MANAS;FOREIGN;0;0;0;0;30/01/2018
AIR MAURITIUS;FOREIGN;5987;7219;27508;263285;18/01/2018
AIR ASTANA;FOREIGN;2608;3080;0;25509;16/09/2010
AIR SEYCHELLES;FOREIGN;1253;1300;514;1635;09/09/2017
ALL NIPPON AIRWAYS;FOREIGN;4749;6232;138017;433677;12/02/2016
ARIANA AFGHAN;FOREIGN;2342;2276;525;838;21/10/2013
ASIANA AIRLINES;FOREIGN;3113;3271;23322;50076;30/07/2015
AUSTRIAN AIRLINES;FOREIGN;4694;5334;159844;235783;29/07/2016
BANGKOK AIRWAYS;FOREIGN;3924;4094;3039;65793;05/09/2012
BHUTAN AIRLINES;FOREIGN;0;0;0;0;06/06/2010
BIMAN BANGLADESH;FOREIGN;2313;2950;179;6632;24/10/2015
BRITISH AIRWAYS;FOREIGN;6096;6578;20062;3785;06/07/2014
BUDHHA AIR;FOREIGN;213;179;0;0;27/02/2018
CATHAY PACIFIC;FOREIGN;28540;32556;5063944;13006667;18/01/2014
CHINA AIRLINES LTD;FOREIGN;1787;3909;69317;110205;14/03/2014
CHINA EASTERN AIRLINES;FOREIGN;7880;7451;180781;204954;10/08/2016
CHINA SOUTHERN ;FOREIGN;4836;5105;43034;74131;04/07/2013
DELTA AIRLINES;FOREIGN;7292;8183;35307;3205;02/06/2015
DRAGON AIR;FOREIGN;6788;8033;296367;221835;25/10/2013
DRUK AIR;FOREIGN;3386;2163;369;2215;02/04/2016
EGYPT AIR;FOREIGN;1132;1454;5404;10464;04/01/2014
EL-AL-ISRAEL;FOREIGN;3576;3421;79783;134103;21/09/2010
EMIRATES AIRLINE;FOREIGN;246941;256369;3629517;11303549;13/08/2013
ETHIOPIAN AIRLINES;FOREIGN;8990;13206;112053;983557;20/04/2016
ETIHAD AIRLINES;FOREIGN;79148;83464;986985;1912326;22/08/2014
EVA AIRWAYS;FOREIGN;0;0;0;0;21/09/2014
FEDERAL EXPRESS;FOREIGN;0;0;10736;1986116;05/06/2016
FINN AIR;FOREIGN;4362;5425;177154;36239;12/11/2016
FLY DUBAI;FOREIGN;17166;18236;10062;219271;27/05/2015
GULF AIR;FOREIGN;36296;38139;1605;473566;09/03/2018
IRAN AIR;FOREIGN;1492;1169;414;40501;01/12/2013
IRAQI AIRWAYS;FOREIGN;0;0;0;0;14/02/2018
ISLAND AVIATION SERVICES;FOREIGN;6242;7974;917;92416;24/06/2010
JAPAN AIRLINES;FOREIGN;4439;4085;385569;282414;19/06/2014
KALITTA AIR;FOREIGN;0;0;939255;90237;30/05/2011
KAM AIR;FOREIGN;5000;3000;0;250125;09/12/2014
KENYA AIRWAYS;FOREIGN;6805;9307;18153;264215;19/03/2016
KLM AIRLINES;FOREIGN;23614;24722;314652;650026;25/08/2014
KOREAN AIR;FOREIGN;5156;6644;7459;211186;16/06/2016
KUWAIT AIRWAYS;FOREIGN;17827;21514;428144;748616;23/04/2014
LUFTHANSA;FOREIGN;51900;52767;2561526;2508418;14/10/2015
MAHAN AIR;FOREIGN;1227;1261;11197;113626;27/04/2015
MALAYSIA AIRLINES;FOREIGN;42177;49943;1128048;1040577;24/06/2014
MALINDO AIRWAYS;FOREIGN;14973;13965;0;309;09/01/2017
MARTIN AIR HOLLAND;FOREIGN;0;0;716669;583345;23/06/2016
MIHIN LANKA;FOREIGN;3469;3461;0;0;01/07/2016
MYANMAR AIRLINES;FOREIGN;873;666;0;0;30/09/2014
NEPAL AIRLINES CORPORATION;FOREIGN;0;0;0;0;04/08/2016
OMAN AIR;FOREIGN;59186;62337;61044;772401;07/01/2010
PAK INTERNATIONAL;FOREIGN;1565;2463;11826;3517;16/12/2011
QATAR AIRWATYS;FOREIGN;83673;87601;2543966;5152565;20/12/2011
REGENT AIRWAYS;FOREIGN;2586;2635;0;0;13/11/2010
SAFI AIRWAYS;FOREIGN;2074;1941;2451;18796;03/09/2015
SAUDIA;FOREIGN;63090;71131;1921;215076;29/08/2011
SILK AIR;FOREIGN;16240;23414;43157;170588;28/06/2011
SINGAPORE AIRLINES;FOREIGN;49177;56694;2420342;2413372;25/08/2011
SOUTHA AFRICAN AIRLINES;FOREIGN;4278;6226;12333;286207;16/11/2011
SRILNKAN AIRWAYS;FOREIGN;54471;56447;871113;1396576;03/04/2013
SWISS AIR;FOREIGN;12071;13195;678333;864921;21/01/2014
TAJIK AIR;FOREIGN;215;205;0;3624;04/07/2014
THAI AIRWAYS;FOREIGN;56883;59686;235677;1860784;19/11/2010
TIGER AIRWAYS;FOREIGN;26192;26113;82751;350718;06/05/2016
TRANSAERO AIRLINES;FOREIGN;4278;4638;0;0;12/09/2011
TURKISH AIRLINES;FOREIGN;18202;18087;50852;921249;12/03/2017
TURKMENISTAN AIRLINES;FOREIGN;3512;4109;0;22254;11/01/2011
UNITED AIRLINES;FOREIGN;14288;14957;326066;22608;15/11/2014
